smoker,pet,size,location,price,fireplace,laudromat,indoor parking,outdoor parking,Balcony
1,1,studio,wi,459,0,0,0,1,0
0,0,3.5,dt,250,0,1,1,1,1
1,0,4.5,lw,1993,0,0,1,1,1
0,1,5.5,ndg,1776,1,0,1,0,0
1,0,gt5.5,wi,2046,1,0,1,0,1
1,1,4.5,dt,2999,0,1,1,0,1
0,1,5.5,ndg,702,0,1,1,0,1
1,0,studio,wi,2442,1,0,1,0,0
1,1,3.5,dt,1356,0,1,0,0,1
0,0,3.5,dt,2279,1,0,1,1,1
1,0,gt5.5,lw,1622,1,0,1,1,0
0,1,4.5,ndg,1832,0,0,0,0,0
1,1,3.5,eei,1875,1,1,1,0,1
0,1,4.5,lw,2486,0,1,1,0,0
1,1,gt5.5,ndg,602,1,0,0,1,1
0,0,studio,eei,2490,1,0,0,1,1
1,0,3.5,wi,1472,1,0,1,0,1
0,0,gt5.5,dt,2269,1,1,0,1,1
1,1,4.5,ndg,5006,1,0,0,1,1
1,0,3.5,eei,1894,0,0,0,1,1
1,0,studio,wi,672,1,1,0,1,0
1,1,3.5,dt,1783,0,1,0,0,0
0,0,gt5.5,ndg,524,1,0,1,1,1
0,1,4.5,eei,2822,1,1,0,0,0
0,1,studio,lw,1553,1,0,1,1,0
0,0,gt5.5,wi,1192,0,0,0,0,0
1,0,4.5,dt,2900,1,1,1,1,0
0,1,4.5,ndg,2392,1,0,0,0,0
0,1,3.5,eei,2583,0,1,1,0,1
0,1,4.5,dt,1380,1,1,1,1,1
0,1,4.5,lw,234,1,1,1,0,0
0,1,5.5,wi,2869,0,1,1,1,0
1,1,gt5.5,dt,2151,1,1,1,1,1
1,1,gt5.5,eei,2921,1,0,1,0,1
1,1,4.5,dt,2141,1,0,1,1,1
1,0,studio,lw,867,0,1,0,1,0
1,1,3.5,ndg,100,0,1,0,1,1
0,0,gt5.5,eei,2819,1,1,1,0,1
0,0,4.5,dt,1424,1,1,0,1,1
1,1,gt5.5,lw,1108,1,1,1,0,0
